ENSEMBL	logFC	logCPM	F	PValue	FDR	SYMBOL
ENSG00000105971	1.50135906652263	3.71179586784701	19.5195674989454	6.09013678168178e-05	0.000138444074846646	CAV2
ENSG00000260473	1.06604459625066	0.537218559174598	19.5169733421636	6.09592079771867e-05	0.000138563286930697	
ENSG00000222007	1.00083696156736	0.979113059160411	19.5165015777847	6.09697327717161e-05	0.000138574937264089	
ENSG00000109576	0.942767551955688	3.9787817207573	19.5111918839578	6.10883203899951e-05	0.000138832174161802	AADAT
ENSG00000143479	0.942857388191064	2.81506157383224	19.5054998819275	6.12157149524237e-05	0.000139109378807681	DYRK3
ENSG00000262202	1.97129805989766	7.08738663997385	19.5037411443616	6.12551340954928e-05	0.000139186632718975	
ENSG00000170954	-0.66896405520454	4.38410124541926	19.5003297474471	6.13316706527681e-05	0.000139348205320759	ZNF415
ENSG00000266208	1.75446676031161	0.0682003142518914	19.499454513018	6.13513231610987e-05	0.000139378547833157	
ENSG00000168763	-0.439107352808135	4.82921616919366	19.4992513133272	6.13558867492308e-05	0.000139378547833157	CNNM3
ENSG00000072832	-0.817203137227227	6.82699645843767	19.4933438775925	6.14887152814752e-05	0.000139667924391456	CRMP1
ENSG00000121068	1.6176548200599	3.63906677315508	19.482919295015	6.17238471282048e-05	0.000140189605004016	TBX2
ENSG00000141959	-1.08114246443267	7.07832958650777	19.4801905414647	6.1785551001708e-05	0.000140317331781155	PFKL
ENSG00000204642	1.27198317637731	4.13486087266092	19.4798778998362	6.17926247279943e-05	0.000140317366815757	HLA-F
ENSG00000213599	0.810042833279291	0.742180156448748	19.4797065956739	6.17965009592249e-05	0.000140317366815757	SLX1A-SULT1A3
ENSG00000112320	-0.770940165873215	5.84407992588185	19.4765504773067	6.18679624809334e-05	0.000140467202501164	SOBP
ENSG00000130950	0.76913372629354	0.0641695133914563	19.467760665347	6.20674400028905e-05	0.000140907638007447	NUTM2F
ENSG00000162913	-1.08033166833269	0.640754838067492	19.4639533723754	6.21540524046111e-05	0.000141091787985525	OBSCN-AS1
ENSG00000249795	1.37892547024138	1.83971114082772	19.4624265425509	6.21888219373929e-05	0.000141146234137728	LOC101060158
ENSG00000115524	0.491926900215948	8.67947553032413	19.4624171337764	6.21890362606439e-05	0.000141146234137728	SF3B1
ENSG00000123983	-0.708300946905489	7.60981735398757	19.458769631226	6.22721813488213e-05	0.000141322445337121	ACSL3
ENSG00000025772	-0.519307781248042	4.70950458646193	19.4573375781824	6.23048569332556e-05	0.000141381094860481	TOMM34
ENSG00000203799	0.923699958679147	2.48354843359875	19.4571542168714	6.23090420404014e-05	0.000141381094860481	CCDC162P
ENSG00000185689	0.977005797841283	0.337509250921686	19.4568123165197	6.2316846488507e-05	0.000141386303494301	C6orf201
ENSG00000257376	0.819081582091624	3.10508249191001	19.4561754337011	6.23313871362155e-05	0.00014140679314514	
ENSG00000227383	1.02035313030592	0.196848693041644	19.4487755702905	6.2500593955551e-05	0.000141778128325015	
ENSG00000198961	-0.680606408221122	8.88005692284816	19.447334028766	6.25336125112138e-05	0.000141840491833876	PJA2
ENSG00000121851	0.41976686244303	3.79636306147662	19.4453982897157	6.25779794262422e-05	0.000141928582712487	POLR3GL
ENSG00000197483	-1.37249014515109	0.819960484181283	19.4337055523381	6.28466777922893e-05	0.000142525402981276	ZNF628
ENSG00000072135	0.613429853318451	5.16597761412791	19.4288903145287	6.29576827830679e-05	0.000142764528063919	PTPN18
ENSG00000253570	-0.489493629720426	2.97970928330838	19.4284874279681	6.29669797771005e-05	0.000142772995492471	
ENSG00000188807	-0.931656599224918	3.59391034334665	19.4275085066352	6.2989575320024e-05	0.000142808556011136	TMEM201
ENSG00000231084	1.17610515096227	-0.44412973080459	19.4273258807331	6.29937916462913e-05	0.000142808556011136	
ENSG00000223704	1.05275223489649	1.85083390561121	19.4240785409381	6.30688131210754e-05	0.000142966003246105	
ENSG00000272630	0.749959998700593	1.26619144188615	19.4233346431712	6.30860121488647e-05	0.000142992360840821	
ENSG00000237359	1.30354374178379	0.78089297852219	19.4138211899787	6.33063983716182e-05	0.000143472659765504	
ENSG00000102886	0.766311058314331	1.66229842809852	19.4137050852811	6.33090929999739e-05	0.000143472659765504	GDPD3
ENSG00000106397	1.16050144704442	5.75415692471999	19.4130235859242	6.33249120739365e-05	0.000143495838634785	PLOD3
ENSG00000162878	-1.09730083065315	3.22364942425693	19.410664317534	6.33797077863819e-05	0.000143597294396403	PKDCC
ENSG00000099204	-1.26250830853968	8.21155057479859	19.4106140955502	6.33808747680674e-05	0.000143597294396403	ABLIM1
ENSG00000179362	-0.702928493644099	0.700693046611666	19.4088054402735	6.34229165415087e-05	0.000143679861685746	
ENSG00000259943	-0.614671332834052	2.6193873180883	19.4077064079332	6.34484775637962e-05	0.000143725081789482	
ENSG00000188073	0.670740385038783	0.337443062265625	19.4062020236767	6.34834836599266e-05	0.000143791687241375	
ENSG00000230154	0.60348064326012	1.66932471713694	19.4053678004907	6.35029042410446e-05	0.00014382298246968	
ENSG00000235989	0.884207191363227	0.585933462649725	19.4003402283858	6.36200771747047e-05	0.000144075644638559	MORC2-AS1
ENSG00000147140	0.596637702340318	6.27773967921824	19.3757930358212	6.41954373653014e-05	0.000145365793186912	NONO
ENSG00000146350	0.727122426353985	5.22609453188162	19.3740841358819	6.42356946039815e-05	0.000145444120159787	TBC1D32
ENSG00000112110	-0.50577005292721	4.58462683732107	19.3688962509908	6.4358069789011e-05	0.000145708350488265	MRPL18
ENSG00000163435	1.15248593227406	1.13153291161134	19.3668878766732	6.44055101813736e-05	0.000145802894840342	ELF3
ENSG00000170871	-0.626187288165534	6.96014229836028	19.366167004634	6.44225470429549e-05	0.000145828600269663	KIAA0232
ENSG00000205534	0.55397621556483	6.05676510180681	19.3626074855555	6.45067408348884e-05	0.000146006305981781	
ENSG00000116885	-0.690031327165794	3.79821609518717	19.3621972124738	6.4516452486969e-05	0.000146015410324344	OSCP1
ENSG00000204839	-1.35060039820845	0.812451861498249	19.361916674321	6.45230940407247e-05	0.000146017565343021	MROH6
ENSG00000233155	-1.07130403574212	-0.0693937748486362	19.3592845358409	6.4585443064774e-05	0.000146145776428974	
ENSG00000166025	0.732274689852188	6.37888619390037	19.358442591998	6.46054000095077e-05	0.000146178047363485	AMOTL1
ENSG00000152784	-1.84688540607619	4.12267636732816	19.3559990850713	6.46633560624998e-05	0.000146296282911148	PRDM8
ENSG00000139890	-0.818078528711155	0.365162649124702	19.3542678897915	6.47044501942921e-05	0.000146376352070208	REM2
ENSG00000099246	-0.5656748147574	6.44421333235159	19.353920061681	6.47127100411495e-05	0.000146382134955588	RAB18
ENSG00000157766	2.32701854545558	4.46874482383015	19.3509578629196	6.47830979228504e-05	0.000146528439956813	ACAN
ENSG00000225177	1.00921117545296	1.98864507129524	19.3477385202094	6.48596870359206e-05	0.000146688744076216	
